fred.date,fred.total_population,fred.median_household_income,fred.median_list_price,fred.median_inventory,fred.median_days_on_market,fred.rental_vacancy_rate,fred.home_ownership_rate,fred.home_value_index,fred.unemployment_rate,fred.building_permits_housing_units,fred.gdp,redfin.period_begin,redfin.period_end,redfin.period_duration,redfin.region_type,redfin.region_type_id,redfin.table_id,redfin.is_seasonally_adjusted,redfin.region,redfin.city,redfin.state,redfin.state_code,redfin.property_type,redfin.property_type_id,redfin.median_sale_price,redfin.median_sale_price_mom,redfin.median_sale_price_yoy,redfin.median_list_price,redfin.median_list_price_mom,redfin.median_list_price_yoy,redfin.median_ppsf,redfin.median_ppsf_mom,redfin.median_ppsf_yoy,redfin.median_list_ppsf,redfin.median_list_ppsf_mom,redfin.median_list_ppsf_yoy,redfin.homes_sold,redfin.homes_sold_mom,redfin.homes_sold_yoy,redfin.pending_sales,redfin.pending_sales_mom,redfin.pending_sales_yoy,redfin.new_listings,redfin.new_listings_mom,redfin.new_listings_yoy,redfin.inventory,redfin.inventory_mom,redfin.inventory_yoy,redfin.months_of_supply,redfin.months_of_supply_mom,redfin.months_of_supply_yoy,redfin.median_dom,redfin.median_dom_mom,redfin.median_dom_yoy,redfin.avg_sale_to_list,redfin.avg_sale_to_list_mom,redfin.avg_sale_to_list_yoy,redfin.sold_above_list,redfin.sold_above_list_mom,redfin.sold_above_list_yoy,redfin.price_drops,redfin.price_drops_mom,redfin.price_drops_yoy,redfin.off_market_in_two_weeks,redfin.off_market_in_two_weeks_mom,redfin.off_market_in_two_weeks_yoy,redfin.parent_metro_region,redfin.parent_metro_region_metro_code,redfin.last_updated
2012-01-01,4816632.0,51384.0,,,,11.1,71.9,121543.0,8.5,551.0,189245.5,2012-01-01,2012-01-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,126400,-0.0387800058,-0.036052568,155300.0,0.1051211809,0.0077595614,68.0,-0.0783122518,-0.0947075161,86.0,0.1115784777,0.0097137376,557,-0.125588697,0.087890625,260.0,-0.0510948905,0.4054054054,1014.0,0.4122562674,-0.0487804878,5233.0,0.0362376238,-0.0443754565,9.4,1.5,-1.3,125.0,-2.0,-26.0,0.9364597052,0.0026261011,-0.0014929686,0.1238779174,0.0359658295,-0.0206533326,,,,0.0750429825,0.0023123716,-0.0118980902,South Region,,2023-01-15 14:45:07
2012-02-01,4816632.0,51384.0,,,,11.1,71.9,121568.0,8.4,568.0,189245.5,2012-02-01,2012-02-29,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,152900,0.1269157713,0.0190950421,162700.0,-0.0060848521,0.0406798473,80.0,0.1255608547,0.0208161509,87.0,0.0065662761,-3.46472e-05,820,0.1202185792,0.3333333333,304.0,-0.009771987,0.3571428571,1290.0,0.03117506,0.2887112887,6394.0,0.0317895756,0.1458781362,7.8,-0.7,-1.3,132.0,7.0,-6.0,0.9497397198,0.0062639166,0.0077124684,0.1243902439,-0.0204184993,-0.0073170732,,,,0.0968334595,0.0271052837,-0.0038677142,South Region,,2023-01-15 14:45:07
2012-03-01,4816632.0,51384.0,,,,11.1,71.9,121687.0,8.4,681.0,189245.5,2012-03-01,2012-03-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,136600,0.0007376953,0.024781762,167500.0,0.0544695792,0.1158449154,73.0,0.003260716,-0.0314953445,89.0,0.0387416234,0.0541630554,1611,0.2094594595,1.1918367347,658.0,0.3266129032,0.9467455621,2211.0,0.1817210048,0.6512322629,9275.0,0.03875014,0.5083753456,5.8,-0.9,-2.6,123.0,-4.0,-9.0,0.9477149425,-0.0002910598,0.0029817794,0.1421477343,-0.0027471606,0.0305831085,,,,0.0603824428,-0.0112504329,-0.0480968376,South Region,,2023-01-15 14:45:07
2012-04-01,4816632.0,51384.0,,,,11.1,71.9,121560.0,8.4,718.0,189245.5,2012-04-01,2012-04-30,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,141100,0.0338292116,0.0093501941,160700.0,-0.0427086733,0.0240086708,76.0,0.0441384108,-0.0726499115,84.0,-0.0567769157,-0.0368717709,1724,0.0668316832,1.1024390244,810.0,0.2235649547,1.2252747253,2282.0,0.0228597042,0.7884012539,9688.0,0.0361497326,0.5261499685,5.6,-0.2,-2.1,108.0,-15.0,-20.0,0.9517883978,0.0044279876,0.0014850042,0.1426914153,0.0009834945,0.0268377568,,,,0.0614972869,0.001656148,0.0081845894,South Region,,2023-01-15 14:45:07
2012-05-01,4816632.0,51384.0,,,,11.1,71.9,121559.0,8.4,773.0,189245.5,2012-05-01,2012-05-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,152900,0.1363606992,0.0591052239,143800.0,-0.0694390296,-0.1142102762,79.0,0.0805928213,-0.0362573479,81.0,-0.0148190948,-0.0476399147,1653,0.1314168378,1.063670412,756.0,0.0815450644,0.8712871287,1821.0,-0.0765720081,0.5458404075,8421.0,-0.0095271701,0.335394862,5.1,-0.7,-2.8,109.0,0.0,-10.0,0.9569053913,0.0072997358,0.0077158271,0.1494252874,0.005688121,0.0021094322,,,,0.0514714225,-0.0128725726,-0.0246838562,South Region,,2023-01-15 14:45:07
2012-06-01,4816632.0,51384.0,,,,11.1,71.9,121456.0,8.3,705.0,189245.5,2012-06-01,2012-06-30,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,157800,-0.01929758,0.0496647844,168900.0,0.1111345901,0.1125616873,81.0,-0.0017956044,0.0150666105,88.0,0.0378699121,0.0667138938,1180,-0.0359477124,0.3898704358,569.0,0.0364298725,0.4664948454,1406.0,-0.0154061625,0.1746031746,6864.0,-0.0092378753,0.1345454545,5.8,0.1,-1.3,108.0,-8.0,-9.0,0.9558651981,0.0014101106,0.0106353113,0.1415254237,0.0050875152,0.0037162364,,,,0.0717196924,0.0087455662,-0.0199334089,South Region,,2023-01-15 14:45:07
2012-07-01,4816632.0,51384.0,,,,11.1,71.9,121440.0,8.2,829.0,189245.5,2012-07-01,2012-07-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,153000,0.0323815462,0.0539462559,152900.0,-0.0568198595,0.0318572816,82.0,0.0198615963,0.0252791438,83.0,-0.0362024635,0.0092882988,841,-0.0727673649,0.0486284289,391.0,-0.1113636364,0.0625,1117.0,0.0439252336,0.1659707724,5641.0,0.0024880043,0.000887154,6.7,0.5,-0.3,113.0,1.0,-7.0,0.9429764877,-0.0083370365,-0.0011807473,0.1153388823,-0.0279907759,0.0056131965,,,,0.0698261982,-0.0110145984,0.0005335694,South Region,,2023-01-15 14:45:07
2012-08-01,4816632.0,51384.0,,,,11.1,71.9,121404.0,8.1,776.0,189245.5,2012-08-01,2012-08-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,150000,-0.0158664903,0.07350412,154800.0,0.003289343,-0.0251245267,80.0,-0.0252285039,0.0353300206,85.0,0.0175134672,0.001090104,979,0.0493033226,0.1724550898,421.0,-0.0186480186,0.1020942408,1210.0,-0.0178571429,0.1203703704,6080.0,-0.0145867099,0.0734463277,6.2,-0.4,-0.6,131.0,18.0,10.0,0.9489848706,0.0049557564,0.0066340305,0.1460674157,0.0345990342,0.0275045415,,,,0.1339020638,0.0705937332,0.0528165377,South Region,,2023-01-15 14:45:07
2012-09-01,4816632.0,51384.0,,,,11.1,71.9,121455.0,7.9,720.0,189245.5,2012-09-01,2012-09-30,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,143200,-0.0168770742,0.0166520974,150200.0,0.0102785559,0.0533708925,77.0,-0.0220635349,0.0041628838,82.0,0.0045079072,0.0734962313,1297,-0.1707161125,0.8038942976,556.0,-0.2022955524,0.7267080745,1452.0,-0.1543389633,0.2941176471,8043.0,-0.0110660273,0.2286892759,6.2,1.0,-2.9,121.0,3.0,-8.0,0.9539581703,-0.0009581389,0.0124717015,0.1503469545,-0.0063026619,0.0307363843,,,,0.0720541846,-0.0406586049,0.0005656373,South Region,,2023-01-15 14:45:07
2012-10-01,4816632.0,51384.0,,,,11.1,71.9,121503.0,7.8,743.0,189245.5,2012-10-01,2012-10-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,148800,0.030507307,0.0720858084,149000.0,-0.0467851782,0.011312288,79.0,0.0052948753,0.0802747924,83.0,-0.0322631435,0.0374073541,761,0.0052840159,0.0997109827,314.0,-0.0397553517,0.0716723549,1034.0,0.1106337272,0.1106337272,5589.0,0.0007162041,0.0497746056,7.3,-0.1,-0.4,125.0,-4.0,-7.0,0.9445620721,-0.0025719939,0.0082501298,0.1077529566,-0.0164214159,-0.0237499335,,,,0.0593857606,-0.0138705482,-0.0376032471,South Region,,2023-01-15 14:45:07
