fred.date,fred.total_population,fred.median_household_income,fred.median_list_price,fred.median_inventory,fred.median_days_on_market,fred.rental_vacancy_rate,fred.home_ownership_rate,fred.home_value_index,fred.unemployment_rate,fred.building_permits_housing_units,fred.gdp,redfin.period_begin,redfin.period_end,redfin.period_duration,redfin.region_type,redfin.region_type_id,redfin.table_id,redfin.is_seasonally_adjusted,redfin.region,redfin.city,redfin.state,redfin.state_code,redfin.property_type,redfin.property_type_id,redfin.median_sale_price,redfin.median_sale_price_mom,redfin.median_sale_price_yoy,redfin.median_list_price,redfin.median_list_price_mom,redfin.median_list_price_yoy,redfin.median_ppsf,redfin.median_ppsf_mom,redfin.median_ppsf_yoy,redfin.median_list_ppsf,redfin.median_list_ppsf_mom,redfin.median_list_ppsf_yoy,redfin.homes_sold,redfin.homes_sold_mom,redfin.homes_sold_yoy,redfin.pending_sales,redfin.pending_sales_mom,redfin.pending_sales_yoy,redfin.new_listings,redfin.new_listings_mom,redfin.new_listings_yoy,redfin.inventory,redfin.inventory_mom,redfin.inventory_yoy,redfin.months_of_supply,redfin.months_of_supply_mom,redfin.months_of_supply_yoy,redfin.median_dom,redfin.median_dom_mom,redfin.median_dom_yoy,redfin.avg_sale_to_list,redfin.avg_sale_to_list_mom,redfin.avg_sale_to_list_yoy,redfin.sold_above_list,redfin.sold_above_list_mom,redfin.sold_above_list_yoy,redfin.price_drops,redfin.price_drops_mom,redfin.price_drops_yoy,redfin.off_market_in_two_weeks,redfin.off_market_in_two_weeks_mom,redfin.off_market_in_two_weeks_yoy,redfin.parent_metro_region,redfin.parent_metro_region_metro_code,redfin.last_updated
2018-01-01,4891628,53879,194900,22576,109,13.2,70.3,138583,4,1021,223859.3,2018-01-01,2018-01-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,174900,-0.0582934563,0.0659999037,194900,0.0782296242,0.0855898849,91,-0.0294299942,0.0411529774,101,0.0784995185,0.0726205198,2650,-0.214349244,-0.0192450037,1386,-0.1908931699,0.1379310345,4123,0.6036561649,0.0348895582,16543,0.0429327954,-0.042650463,6.2,1.5,-0.2,108,12,-10,0.9653625968,-0.0042422595,0.0015278956,0.1750943396,0.0064017811,0.0100314233,0.0516834915,0.0189007403,-0.0036405826,0.1234507577,0.0084794125,-0.0260749572,South Region,,2023-01-15 14:45:07
2018-01-01,7164228,67201,314450,25545,70,6,65.7,231899,4.8,2200,351879.5,2018-01-01,2018-01-31,30,state,4,5,f,Arizona,,Arizona,AZ,All Residential,-1,245900,-0.0064297026,0.0923424922,269600,0.0642445247,0.0862980584,142,0.0102272866,0.0945477735,150,0.022328677,0.0754686481,7611,-0.1499888318,0.0154769847,6622,0.0418502203,0.0536197295,11705,0.677414732,0.0339192651,27001,0.0701942132,-0.0857036435,3.5,0.7,-0.4,58,4,-6,0.9790315581,-0.0002578239,0.0020028533,0.1338851662,0.0006486239,-0.0006044936,0.2182511759,0.0759998877,-2.05E-05,0.2806428979,0.0899082481,0.0087303356,West Region,,2023-01-15 14:45:07
2018-01-01,3012161,53712,169000,13884,108,9.9,64.7,126269,3.8,552,127535.7,2018-01-01,2018-01-31,30,state,4,7,f,Arkansas,,Arkansas,AR,All Residential,-1,156700,-0.0370875528,0.0533878712,171000,0.1156646023,0.0657470279,89,-0.029412475,0.0272933756,97,0.0474483532,0.0559805263,1584,-0.2044198895,0.0462351387,1021,-0.0801801802,0.0504115226,2308,0.472878111,-0.0533223954,8567,0.018426058,-0.0883260615,5.4,1.2,-0.8,92,12,-5,0.96572412,-0.0039696903,0.0015762962,0.0991161616,-0.0128878565,-0.022416203,0.090930314,0.0217434381,-0.007505357,0.2093262711,0.0453574088,-0.032661932,South Region,,2023-01-15 14:45:07
2018-01-01,39437463,76055,507818,52172,56,4.4,55.1,520390,4.4,4715,2897200.7,2018-01-01,2018-01-31,30,state,4,9,f,California,,California,CA,All Residential,-1,516600,-0.0444866903,0.0844576366,553200,0.1075186012,0.0778377417,333,-0.0329305001,0.0819012137,345,0.0833178972,0.0694496828,22493,-0.2275224947,-0.022978021,20359,-0.008812074,0.0784511071,32480,0.8030420784,0.0805416015,60024,0.0668846981,-0.0992932279,2.7,0.8,-0.2,43,3,-8,0.9966725041,-0.0030391734,0.007665911,0.3337482772,-0.0189888613,0.046370986,0.1817606291,0.0393351478,0.0191430213,0.4070920493,0.110090391,0.0395675369,West Region,,2023-01-15 14:45:07
2018-01-01,21254926,58959,320000,133053,82,8.2,65.5,226143,4,7300,1057255.4,2018-01-01,2018-01-31,30,state,4,19,f,Florida,,Florida,FL,All Residential,-1,234300,-0.0109320004,0.106882652,268300,0.0313959261,0.0523876096,148,0.0129686019,0.0932247796,163,0.0209281886,0.0616475467,24418,-0.2482142857,0.0098428453,22388,0.1445222637,0.0643719692,46593,0.5327148919,0.0380990575,133143,0.0663041389,-0.0454877839,5.5,1.7,-0.3,62,2,-4,0.9628653118,-0.0023845475,-6.20E-05,0.1045540175,-0.0059447509,-0.0116163712,0.1985459243,0.0681720776,-0.01272673,0.3215052771,0.0194974783,0.010653903,South Region,,2023-01-15 14:45:07
2018-01-01,10519389,60229,259000,41582,87,7.1,63.8,185794,4.3,3368,602366.4,2018-01-01,2018-01-31,30,state,4,21,f,Georgia,,Georgia,GA,All Residential,-1,211800,-0.0480553165,0.0772064874,233500,0.0745925797,0.0645597415,107,-0.0239391122,0.0741677446,115,0.0562981815,0.0763781261,8282,-0.2871406438,0.0454430699,7091,0.1494569622,0.2342906876,11829,0.4598296927,-0.032392638,36541,-0.0272335215,-0.1443591064,4.4,1.2,-1,64,4,-16,0.9722935239,-0.0014607599,0.0030418446,0.1663849312,-0.0079135711,0.0111211089,0.1171013382,0.0272280553,0.0015438053,0.3361987839,0.0596612665,0.0616474085,South Region,,2023-01-15 14:45:07
2018-01-01,4664450,53919,210725,17422,95,10.1,65.7,169454,4.7,1084,256677.8,2018-01-01,2018-01-31,30,state,4,39,f,Louisiana,,Louisiana,LA,All Residential,-1,195100,-0.0339708602,0.1054467336,214400,0.0177977369,0.0552633918,115,-0.0178358818,0.126852015,129,0.0179599378,0.0725450949,1907,-0.2083852221,-0.1034320639,1121,-0.0008912656,-0.1316808675,1614,0.4385026738,-0.0235934664,8272,0.0251580121,0.0659793814,4.3,1,0.7,100,13,11,0.9622281196,-0.0052656537,0.0021702955,0.1064499213,-0.0039693398,0.0016074202,0.1444632495,0.0444508564,-0.0079852041,0.164877867,0.0502812192,-0.059326888,South Region,,2023-01-15 14:45:07
2018-01-01,2982879,46159,180000,10780,111,9.7,72.5,121865,4.9,433,112201.7,2018-01-01,2018-01-31,30,state,4,51,f,Mississippi,,Mississippi,MS,All Residential,-1,161200,-0.0327657301,0.1082535168,170600,-0.0172805759,0.0107408019,90,0.0010833987,0.1031265015,96,0.0021717861,0.0239198286,781,-0.3442485306,0.0802213001,387,-0.3222416813,0.2564935065,1108,0.3611793612,-0.0255057168,5646,0.0374862183,-0.0672393854,7.2,2.6,-1.2,108,-1,-25,0.962296461,-0.0022025477,0.0066124919,0.119078105,0.0023694568,0.0001292807,0.0017711654,0.0006686296,-0.0010373593,0.0850937594,0.009876755,0.0002088973,South Region,,2023-01-15 14:45:07
2018-01-01,3030725,66749,349925,6303,67,6.2,57.8,264907,4.9,1082,170257.6,2018-01-01,2018-01-31,30,state,4,8,f,Nevada,,Nevada,NV,All Residential,-1,266100,0.0036974841,0.154734034,277900,0.0378161806,0.1214253191,151,-0.008677403,0.1382486736,160,0.0250208577,0.1491371399,3665,-0.1298670465,0.0779411765,2769,-0.1073500967,0.1868838405,4717,0.5031867431,0.0294631165,11097,0.0381700814,-0.209727959,3,0.5,-1.1,64,5,-13,0.986509427,0.0005400845,0.007328915,0.22946794,-0.0069992965,0.0474091164,0.1204830134,0.0239351605,-0.0274303892,0.1527474696,0.0491964381,-0.0120703577,West Region,,2023-01-15 14:45:07
2018-01-01,2093754,52096,225000,8814,114,9.1,68,185915,5.2,383,97268,2018-01-01,2018-01-31,30,state,4,14,f,New Mexico,,New Mexico,NM,All Residential,-1,310000,0.0612029135,0.0427224793,309700,0.0036803814,0.1469887146,170,-0.0011861474,0.0266011299,187,0.065840571,0.1033687995,218,-0.1955719557,0.0634146341,114,-0.2297297297,0.175257732,262,0.550295858,0.1644444444,1108,-0.0255057168,-0.1522570773,5.1,0.9,-1.3,102,5,-6,0.9757301969,0.0041258214,0.0044768303,0.1055045872,0.0095636277,0.0030655628,0.1137184116,0.0389602761,0.0188446549,0.2289349328,0.0294198729,0.110147054,West Region,,2023-01-15 14:45:07
