CBSA_Name,FIPS_Code,Population,Bedroom_Size,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08
"Abilene, TX",10180,170669,_Overall, 783.00,1086.00,     NA,     NA, 823.00, 852.00, 878.00, 850.00, 837.00, 815.00, 794.00, 784.00, 787.00, 816.00, 856.00, 892.00, 899.00, 890.00, 883.00, 881.00, 871.00, 858.00, 856.00, 851.00, 848.00, 846.00, 864.00, 881.00, 900.00, 917.00, 918.00, 925.00, 910.00, 909.00, 894.00, 901.00, 897.00, 901.00, 895.00, 888.00, 894.00, 906.00, 932.00, 942.00, 949.00, 940.00, 933.00, 924.00, 931.00, 932.00, 943.00, 951.00, 967.00, 980.00, 998.00,1014.00,1020.00,1020.00,1008.00, 993.00, 989.00, 999.00,1020.00,1030.00,1040.00,1054.00,1070.00,1080.00
"Abilene, TX",10180,170669,1br, 590.00, 817.00,     NA,     NA, 620.00, 641.00, 661.00, 640.00, 630.00, 614.00, 598.00, 590.00, 593.00, 614.00, 644.00, 672.00, 677.00, 670.00, 665.00, 663.00, 656.00, 646.00, 644.00, 641.00, 638.00, 637.00, 650.00, 663.00, 678.00, 691.00, 691.00, 696.00, 685.00, 684.00, 673.00, 679.00, 676.00, 679.00, 674.00, 669.00, 674.00, 682.00, 702.00, 709.00, 714.00, 708.00, 702.00, 696.00, 701.00, 702.00, 710.00, 716.00, 729.00, 738.00, 752.00, 763.00, 768.00, 768.00, 759.00, 748.00, 745.00, 753.00, 768.00, 775.00, 783.00, 793.00, 806.00, 814.00
"Abilene, TX",10180,170669,2br, 743.00,1031.00,     NA,     NA, 782.00, 809.00, 834.00, 807.00, 795.00, 774.00, 753.00, 744.00, 748.00, 775.00, 812.00, 847.00, 854.00, 845.00, 838.00, 836.00, 827.00, 814.00, 812.00, 808.00, 805.00, 803.00, 820.00, 836.00, 854.00, 871.00, 872.00, 878.00, 864.00, 863.00, 849.00, 856.00, 852.00, 856.00, 850.00, 843.00, 849.00, 860.00, 884.00, 894.00, 900.00, 892.00, 886.00, 877.00, 884.00, 885.00, 896.00, 902.00, 918.00, 930.00, 948.00, 962.00, 968.00, 968.00, 957.00, 943.00, 939.00, 949.00, 968.00, 977.00, 987.00,1000.00,1016.00,1026.00
"Akron, OH",10420,703845,_Overall, 842.00, 831.00, 824.00, 812.00, 833.00, 847.00, 850.00, 836.00, 821.00, 807.00, 783.00, 771.00, 768.00, 788.00, 801.00, 810.00, 823.00, 834.00, 846.00, 844.00, 837.00, 829.00, 820.00, 813.00, 809.00, 816.00, 827.00, 843.00, 854.00, 870.00, 874.00, 869.00, 853.00, 839.00, 828.00, 823.00, 823.00, 834.00, 849.00, 860.00, 860.00, 855.00, 853.00, 861.00, 866.00, 873.00, 888.00, 886.00, 885.00, 876.00, 884.00, 899.00, 924.00, 956.00, 988.00,1011.00,1024.00,1021.00,1009.00, 999.00,1000.00,1010.00,1024.00,1052.00,1085.00,1130.00,1153.00,1160.00
"Akron, OH",10420,703845,1br, 651.00, 643.00, 637.00, 628.00, 644.00, 655.00, 657.00, 646.00, 635.00, 624.00, 606.00, 597.00, 594.00, 609.00, 620.00, 627.00, 637.00, 645.00, 655.00, 653.00, 648.00, 641.00, 634.00, 629.00, 625.00, 631.00, 640.00, 652.00, 660.00, 673.00, 676.00, 672.00, 660.00, 649.00, 640.00, 637.00, 636.00, 645.00, 656.00, 666.00, 665.00, 662.00, 659.00, 666.00, 670.00, 676.00, 687.00, 685.00, 684.00, 678.00, 684.00, 695.00, 714.00, 739.00, 764.00, 782.00, 792.00, 790.00, 781.00, 773.00, 773.00, 781.00, 792.00, 813.00, 839.00, 874.00, 891.00, 897.00
"Akron, OH",10420,703845,2br, 843.00, 832.00, 825.00, 813.00, 834.00, 848.00, 851.00, 837.00, 822.00, 808.00, 784.00, 772.00, 768.00, 789.00, 802.00, 811.00, 824.00, 835.00, 847.00, 845.00, 838.00, 830.00, 821.00, 814.00, 810.00, 816.00, 828.00, 844.00, 855.00, 871.00, 875.00, 870.00, 854.00, 840.00, 829.00, 824.00, 823.00, 835.00, 850.00, 862.00, 861.00, 856.00, 854.00, 862.00, 867.00, 874.00, 889.00, 887.00, 886.00, 877.00, 885.00, 900.00, 925.00, 957.00, 989.00,1012.00,1026.00,1022.00,1010.00,1000.00,1001.00,1011.00,1025.00,1053.00,1086.00,1131.00,1154.00,1162.00
"Albany-Schenectady-Troy, NY",10580,880736,_Overall,1102.00,1122.00,1146.00,1133.00,1136.00,1122.00,1138.00,1141.00,1120.00,1104.00,1086.00,1089.00,1086.00,1095.00,1101.00,1098.00,1091.00,1083.00,1093.00,1092.00,1093.00,1081.00,1068.00,1063.00,1065.00,1067.00,1064.00,1060.00,1064.00,1070.00,1080.00,1087.00,1082.00,1078.00,1075.00,1079.00,1082.00,1075.00,1074.00,1075.00,1081.00,1090.00,1095.00,1114.00,1131.00,1147.00,1150.00,1148.00,1142.00,1141.00,1149.00,1177.00,1202.00,1235.00,1253.00,1279.00,1295.00,1302.00,1306.00,1303.00,1320.00,1320.00,1335.00,1354.00,1392.00,1424.00,1435.00,1440.00
"Albany-Schenectady-Troy, NY",10580,880736,1br, 949.00, 966.00, 987.00, 976.00, 978.00, 966.00, 980.00, 982.00, 964.00, 951.00, 935.00, 937.00, 935.00, 942.00, 947.00, 946.00, 939.00, 932.00, 941.00, 940.00, 941.00, 931.00, 920.00, 915.00, 917.00, 918.00, 915.00, 913.00, 916.00, 921.00, 930.00, 936.00, 931.00, 928.00, 926.00, 929.00, 931.00, 925.00, 924.00, 925.00, 931.00, 938.00, 942.00, 959.00, 974.00, 988.00, 990.00, 988.00, 983.00, 982.00, 989.00,1013.00,1034.00,1064.00,1078.00,1101.00,1115.00,1121.00,1124.00,1122.00,1136.00,1137.00,1149.00,1165.00,1198.00,1225.00,1235.00,1240.00
"Albany-Schenectady-Troy, NY",10580,880736,2br,1186.00,1207.00,1233.00,1219.00,1222.00,1207.00,1225.00,1228.00,1205.00,1188.00,1169.00,1172.00,1169.00,1178.00,1184.00,1182.00,1173.00,1165.00,1176.00,1175.00,1176.00,1163.00,1149.00,1144.00,1146.00,1148.00,1144.00,1141.00,1145.00,1152.00,1162.00,1170.00,1164.00,1160.00,1157.00,1161.00,1164.00,1157.00,1156.00,1156.00,1163.00,1172.00,1178.00,1199.00,1217.00,1234.00,1238.00,1235.00,1229.00,1228.00,1237.00,1267.00,1293.00,1329.00,1348.00,1377.00,1394.00,1401.00,1405.00,1402.00,1420.00,1421.00,1437.00,1456.00,1497.00,1532.00,1544.00,1550.00
"Albuquerque, NM",10740,912108,_Overall, 848.00, 850.00, 855.00, 860.00, 864.00, 867.00, 867.00, 867.00, 866.00, 865.00, 865.00, 864.00, 866.00, 865.00, 865.00, 862.00, 864.00, 870.00, 878.00, 883.00, 885.00, 888.00, 893.00, 890.00, 887.00, 883.00, 887.00, 897.00, 914.00, 932.00, 942.00, 945.00, 951.00, 955.00, 958.00, 949.00, 944.00, 946.00, 953.00, 949.00, 947.00, 949.00, 964.00, 981.00, 999.00,1007.00,1017.00,1016.00,1022.00,1021.00,1039.00,1059.00,1093.00,1124.00,1160.00,1203.00,1238.00,1250.00,1240.00,1222.00,1219.00,1222.00,1238.00,1254.00,1281.00,1305.00,1328.00,1338.00
