State_Name,FIPS_Code,Population,Bedroom_Size,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09,2017_10,2017_11,2017_12,2018_01,2018_02,2018_03,2018_04,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,2020_01,2020_02,2020_03,2020_04,2020_05,2020_06,2020_07,2020_08,2020_09,2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09,2021_10,2021_11,2021_12,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09
Alabama,1,4876250,_Overall, 778.00, 783.00, 784.00, 785.00, 788.00, 793.00, 799.00, 799.00, 802.00, 791.00, 785.00, 773.00, 773.00, 771.00, 776.00, 784.00, 794.00, 805.00, 813.00, 818.00, 819.00, 818.00, 815.00, 812.00, 812.00, 814.00, 823.00, 830.00, 837.00, 845.00, 852.00, 856.00, 855.00, 852.00, 847.00, 847.00, 847.00, 850.00, 850.00, 848.00, 847.00, 848.00, 858.00, 867.00, 877.00, 881.00, 884.00, 885.00, 893.00, 897.00, 903.00, 906.00, 923.00, 943.00, 969.00, 987.00,1001.00, 999.00, 995.00, 993.00, 999.00,1006.00,1012.00,1022.00,1038.00,1055.00,1068.00,1069.00,1063.00
Alabama,1,4876250,1br, 607.00, 611.00, 612.00, 613.00, 615.00, 619.00, 623.00, 623.00, 626.00, 618.00, 612.00, 603.00, 603.00, 602.00, 606.00, 612.00, 620.00, 628.00, 635.00, 638.00, 639.00, 638.00, 636.00, 634.00, 634.00, 636.00, 642.00, 648.00, 653.00, 659.00, 665.00, 668.00, 667.00, 665.00, 661.00, 661.00, 661.00, 664.00, 664.00, 661.00, 661.00, 662.00, 669.00, 677.00, 684.00, 688.00, 690.00, 690.00, 697.00, 700.00, 704.00, 707.00, 720.00, 736.00, 756.00, 770.00, 781.00, 780.00, 776.00, 775.00, 780.00, 785.00, 790.00, 797.00, 810.00, 823.00, 833.00, 834.00, 830.00
Alabama,1,4876250,2br, 745.00, 750.00, 751.00, 752.00, 755.00, 760.00, 765.00, 766.00, 769.00, 759.00, 752.00, 741.00, 740.00, 739.00, 744.00, 751.00, 761.00, 771.00, 779.00, 784.00, 785.00, 784.00, 781.00, 779.00, 778.00, 780.00, 789.00, 796.00, 802.00, 810.00, 816.00, 821.00, 819.00, 816.00, 812.00, 812.00, 812.00, 815.00, 815.00, 812.00, 812.00, 813.00, 822.00, 831.00, 840.00, 845.00, 847.00, 848.00, 856.00, 859.00, 865.00, 868.00, 884.00, 903.00, 929.00, 946.00, 959.00, 958.00, 954.00, 952.00, 958.00, 964.00, 970.00, 979.00, 994.00,1011.00,1023.00,1024.00,1019.00
Alaska,2,737068,_Overall,1199.00,1195.00,1208.00,1204.00,1208.00,1199.00,1189.00,1168.00,1153.00,1155.00,1181.00,1189.00,1218.00,1212.00,1257.00,1316.00,1331.00,1320.00,1266.00,1262.00,1250.00,1247.00,1246.00,1251.00,1251.00,1255.00,1254.00,1265.00,1280.00,1284.00,1286.00,1274.00,1260.00,1245.00,1237.00,1242.00,1262.00,1282.00,1298.00,1304.00,1315.00,1318.00,1335.00,1328.00,1326.00,1308.00,1308.00,1313.00,1315.00,1319.00,1324.00,1334.00,1347.00,1360.00,1371.00,1401.00,1442.00,1475.00,1477.00,1467.00,1474.00,1487.00,1508.00,1526.00,1549.00,1583.00,1608.00,1630.00,1639.00
Alaska,2,737068,1br, 882.00, 879.00, 889.00, 886.00, 889.00, 882.00, 874.00, 859.00, 848.00, 849.00, 869.00, 875.00, 896.00, 892.00, 924.00, 968.00, 979.00, 971.00, 931.00, 928.00, 919.00, 917.00, 916.00, 920.00, 920.00, 923.00, 922.00, 930.00, 941.00, 945.00, 946.00, 937.00, 927.00, 916.00, 910.00, 914.00, 928.00, 943.00, 955.00, 959.00, 967.00, 969.00, 982.00, 977.00, 976.00, 962.00, 962.00, 965.00, 967.00, 970.00, 974.00, 981.00, 991.00,1000.00,1008.00,1031.00,1060.00,1085.00,1086.00,1079.00,1084.00,1093.00,1109.00,1123.00,1139.00,1165.00,1183.00,1199.00,1205.00
Alaska,2,737068,2br,1199.00,1195.00,1208.00,1204.00,1208.00,1199.00,1189.00,1168.00,1153.00,1155.00,1181.00,1189.00,1218.00,1212.00,1257.00,1316.00,1331.00,1320.00,1266.00,1262.00,1250.00,1247.00,1246.00,1251.00,1251.00,1255.00,1254.00,1265.00,1280.00,1284.00,1286.00,1274.00,1260.00,1245.00,1237.00,1242.00,1262.00,1282.00,1298.00,1304.00,1315.00,1318.00,1335.00,1328.00,1326.00,1308.00,1308.00,1313.00,1315.00,1319.00,1324.00,1334.00,1347.00,1360.00,1371.00,1401.00,1442.00,1475.00,1477.00,1467.00,1474.00,1487.00,1508.00,1526.00,1549.00,1583.00,1608.00,1630.00,1639.00
Arizona,4,7050299,_Overall, 934.00, 939.00, 946.00, 953.00, 967.00, 975.00, 981.00, 977.00, 977.00, 977.00, 979.00, 979.00, 982.00, 985.00, 993.00,1001.00,1010.00,1017.00,1026.00,1034.00,1040.00,1047.00,1050.00,1054.00,1056.00,1063.00,1071.00,1083.00,1093.00,1106.00,1113.00,1120.00,1122.00,1124.00,1126.00,1131.00,1138.00,1145.00,1149.00,1135.00,1123.00,1117.00,1133.00,1148.00,1161.00,1171.00,1179.00,1188.00,1197.00,1209.00,1227.00,1254.00,1293.00,1340.00,1392.00,1448.00,1492.00,1515.00,1518.00,1518.00,1519.00,1524.00,1530.00,1536.00,1540.00,1549.00,1554.00,1555.00,1544.00
Arizona,4,7050299,1br, 734.00, 738.00, 743.00, 749.00, 760.00, 767.00, 771.00, 768.00, 768.00, 768.00, 770.00, 770.00, 772.00, 774.00, 781.00, 787.00, 794.00, 800.00, 807.00, 813.00, 818.00, 823.00, 825.00, 829.00, 830.00, 836.00, 842.00, 851.00, 859.00, 869.00, 875.00, 881.00, 882.00, 884.00, 885.00, 889.00, 895.00, 900.00, 903.00, 893.00, 883.00, 878.00, 890.00, 903.00, 913.00, 921.00, 927.00, 934.00, 941.00, 950.00, 964.00, 986.00,1016.00,1053.00,1094.00,1139.00,1173.00,1191.00,1193.00,1194.00,1194.00,1198.00,1203.00,1207.00,1211.00,1217.00,1222.00,1222.00,1214.00
Arizona,4,7050299,2br, 894.00, 899.00, 905.00, 912.00, 925.00, 933.00, 939.00, 935.00, 935.00, 936.00, 937.00, 938.00, 940.00, 943.00, 951.00, 958.00, 967.00, 974.00, 982.00, 990.00, 996.00,1002.00,1005.00,1009.00,1011.00,1018.00,1025.00,1036.00,1046.00,1058.00,1066.00,1072.00,1074.00,1076.00,1078.00,1083.00,1090.00,1096.00,1100.00,1087.00,1075.00,1070.00,1084.00,1099.00,1111.00,1121.00,1129.00,1137.00,1146.00,1157.00,1174.00,1200.00,1238.00,1283.00,1333.00,1386.00,1428.00,1450.00,1453.00,1453.00,1454.00,1459.00,1465.00,1470.00,1474.00,1482.00,1488.00,1488.00,1478.00
Arkansas,5,2999370,_Overall, 768.00, 762.00, 773.00, 769.00, 773.00, 765.00, 760.00, 755.00, 747.00, 734.00, 718.00, 709.00, 716.00, 728.00, 748.00, 757.00, 761.00, 761.00, 762.00, 767.00, 757.00, 752.00, 740.00, 746.00, 751.00, 760.00, 762.00, 760.00, 764.00, 767.00, 774.00, 773.00, 769.00, 766.00, 769.00, 775.00, 777.00, 782.00, 784.00, 785.00, 782.00, 785.00, 794.00, 805.00, 813.00, 819.00, 820.00, 818.00, 816.00, 815.00, 822.00, 830.00, 844.00, 860.00, 876.00, 890.00, 897.00, 899.00, 895.00, 889.00, 889.00, 898.00, 916.00, 933.00, 954.00, 975.00, 989.00, 999.00,1004.00
Arkansas,5,2999370,1br, 585.00, 580.00, 588.00, 586.00, 588.00, 582.00, 578.00, 575.00, 569.00, 559.00, 547.00, 540.00, 545.00, 554.00, 570.00, 576.00, 579.00, 579.00, 580.00, 583.00, 576.00, 572.00, 563.00, 568.00, 571.00, 578.00, 580.00, 579.00, 581.00, 584.00, 589.00, 588.00, 585.00, 583.00, 585.00, 590.00, 591.00, 595.00, 597.00, 597.00, 595.00, 598.00, 604.00, 613.00, 619.00, 623.00, 624.00, 622.00, 621.00, 620.00, 625.00, 632.00, 642.00, 655.00, 667.00, 677.00, 683.00, 684.00, 682.00, 676.00, 677.00, 684.00, 697.00, 710.00, 726.00, 742.00, 753.00, 760.00, 764.00
Arkansas,5,2999370,2br, 742.00, 737.00, 747.00, 744.00, 747.00, 739.00, 734.00, 730.00, 722.00, 709.00, 694.00, 686.00, 692.00, 704.00, 723.00, 731.00, 735.00, 735.00, 737.00, 741.00, 732.00, 727.00, 715.00, 721.00, 726.00, 734.00, 736.00, 735.00, 738.00, 741.00, 748.00, 747.00, 743.00, 741.00, 743.00, 749.00, 751.00, 756.00, 758.00, 758.00, 755.00, 759.00, 767.00, 778.00, 786.00, 791.00, 793.00, 790.00, 789.00, 788.00, 794.00, 802.00, 816.00, 831.00, 847.00, 860.00, 867.00, 869.00, 865.00, 859.00, 860.00, 868.00, 886.00, 902.00, 922.00, 942.00, 956.00, 965.00, 971.00
California,6,39283497,_Overall,1557.00,1561.00,1564.00,1574.00,1594.00,1613.00,1619.00,1619.00,1617.00,1608.00,1596.00,1590.00,1594.00,1603.00,1619.00,1636.00,1652.00,1665.00,1674.00,1683.00,1683.00,1675.00,1665.00,1661.00,1663.00,1670.00,1677.00,1685.00,1694.00,1707.00,1718.00,1723.00,1720.00,1713.00,1702.00,1696.00,1700.00,1708.00,1711.00,1694.00,1674.00,1661.00,1659.00,1652.00,1638.00,1622.00,1612.00,1603.00,1608.00,1619.00,1642.00,1666.00,1697.00,1733.00,1776.00,1824.00,1858.00,1867.00,1859.00,1852.00,1863.00,1883.00,1909.00,1929.00,1950.00,1969.00,1986.00,1993.00,1988.00
California,6,39283497,1br,1312.00,1315.00,1317.00,1326.00,1343.00,1358.00,1364.00,1364.00,1362.00,1354.00,1345.00,1339.00,1343.00,1350.00,1364.00,1378.00,1392.00,1403.00,1410.00,1418.00,1417.00,1411.00,1402.00,1399.00,1401.00,1407.00,1413.00,1419.00,1427.00,1438.00,1447.00,1451.00,1449.00,1443.00,1434.00,1428.00,1432.00,1439.00,1441.00,1427.00,1410.00,1399.00,1398.00,1392.00,1379.00,1367.00,1358.00,1351.00,1354.00,1363.00,1383.00,1403.00,1429.00,1460.00,1496.00,1536.00,1565.00,1573.00,1566.00,1560.00,1569.00,1586.00,1608.00,1625.00,1642.00,1659.00,1673.00,1679.00,1675.00
