line,city,state code,postal code,property_id,rdc_web_url,original description,normalized description,keyword_label,human label
6127 N Portsmouth Ave,Boise,ID,83714,M1833129889,https://www.realtor.com/realestateandhomes-detail/6127-N-Portsmouth-Ave_Boise_ID_83714_M18331-29889,This incredible home is perfectly located close to everything.,incredible home perfectly locate close everything,none,not-distressed
1390 E Greensboro St,Boise,ID,83706,M1264190745,https://www.realtor.com/realestateandhomes-detail/1390-E-Greensboro-St_Boise_ID_83706_M12641-90745,"Super cute corner lot home in highly sought after SE Boise! This 2 bedroom 1 bath home is light, bright and spacious with oversized bedrooms, laminate flooring throughout, and an updated bathroom. Private backyard with semi-covered concrete patio, garden shed, mature trees and RV Parking! Minutes to BSU, downtown, Lucky Peak, Foothills trails and so much more!",super cute corner lot home highly seek se boise 2 bedroom 1 bath home light bright spacious oversized bedrooms laminate floor throughout update bathroom private backyard semicovered concrete patio garden shed mature tree rv park minutes bsu downtown lucky peak foothills trail much,not-distressed,not-distressed
10350 W Rhett St,Boise,ID,83709,M1159024329,https://www.realtor.com/realestateandhomes-detail/10350-W-Rhett-St_Boise_ID_83709_M11590-24329,"Excellent location buffered by common area on the N and E side. Beautiful updated kitchen has granite, hardwood, modern backsplash, SS appliances and a spacious walk-in pantry. Living room has a cozy fireplace and vaulted ceilings. Large yard has an outdoor storage area adjacent to the house, mature trees for summer shade, firepit and garden space. Split bedroom floor plan. Master bedroom has a private office off the back and a large walk in closet. New kitchen, roof, furnace, a/c and water heater in 2020.",excellent location buffer common area n e side beautiful update kitchen granite hardwood modern backsplash ss appliances spacious walkin pantry live room cozy fireplace vault ceilings large yard outdoor storage area adjacent house mature tree summer shade firepit garden space split bedroom floor plan master bedroom private office back large walk closet new kitchen roof furnace ac water heater 2020,not-distressed,not-distressed
2501 S Vista Ave,Boise,ID,83705,M1888359942,https://www.realtor.com/realestateandhomes-detail/2501-S-Vista-Ave_Boise_ID_83705_M18883-59942,"A scary good deal has arrived! This elegant home features timeless brick exterior, original hardwood floors, completely updated kitchen w/newer appliances, bathroom and laundry room. Huge windows fill the space with natural light. Plenty of parking space and a large yard w/patio awaiting your personal touches. Fresh new water heater and furnace. Minutes to downtown, BSU and the interstate/airport. Don't miss your chance to check this place out, you'll fall in love.",scary good deal arrive elegant home feature timeless brick exterior original hardwood floor completely update kitchen wnewer appliances bathroom laundry room huge windows fill space natural light plenty park space large yard wpatio await personal touch fresh new water heater furnace minutes downtown bsu interstateairport dont miss chance check place youll fall love,not-distressed,not-distressed
10915 W Tidewater Ct,Boise,ID,83713,M2083576619,https://www.realtor.com/realestateandhomes-detail/10915-W-Tidewater-Ct_Boise_ID_83713_M20835-76619,"Great location on quiet cul-de-sac ~ the perfect starter home or investment property. Featuring open concept living w/large brick fireplace & wood mantle. Spacious master has vaulted ceiling, walk-in closet, dual vanities in master bathroom + slider to backyard patio. Fully fenced backyard has patio area, storage shed and plenty of room for entertaining & play. 2 car garage has epoxy flooring & pull down storage above. Great location on quiet cul-de-sac close to conveniences.",great location quiet culdesac perfect starter home investment property feature open concept live wlarge brick fireplace wood mantle spacious master vault ceiling walkin closet dual vanities master bathroom slider backyard patio fully fence backyard patio area storage shed plenty room entertain play 2 car garage epoxy floor pull storage great location quiet culdesac close conveniences,distressed,not-distressed
2146 S Linda Vista Pl,Boise,ID,83709,M2589775659,https://www.realtor.com/realestateandhomes-detail/2146-S-Linda-Vista-Pl_Boise_ID_83709_M25897-75659,"Perfect location on this beauty! Located in a quiet cul-de-sac next to the neighborhood greenspace, you have ample room to roam and play. Main floor master bedroom, bonus/theatre room upstairs, covered porch, east-facing covered patio for evening shade in the hot summer, RV parking. New roof in 2019, black stainless steel appliances are only 3 years old.",perfect location beauty locate quiet culdesac next neighborhood greenspace ample room roam play main floor master bedroom bonustheatre room upstairs cover porch eastfacing cover patio even shade hot summer rv park new roof 2019 black stainless steel appliances 3 years old,not-distressed,not-distressed
2141 N Five Mile Rd,Boise,ID,83713,M1855509051,https://www.realtor.com/realestateandhomes-detail/2141-N-Five-Mile-Rd_Boise_ID_83713_M18555-09051,"Nicely updated home. Great curb appeal with circle driveway. Great value and within walking distance to bus stop and more. Beautiful new flooring, cozy fireplace, and other great updates. Great sized fenced backyard.",nicely update home great curb appeal circle driveway great value within walk distance bus stop beautiful new floor cozy fireplace great update great size fence backyard,not-distressed,not-distressed
12350 W Driftwood Dr,Boise,ID,83713,M1727377368,https://www.realtor.com/realestateandhomes-detail/12350-W-Driftwood-Dr_Boise_ID_83713_M17273-77368,"Great investment opportunity in an excellent location on a large lot! Ideal for easy access to the Valley. Vaulted ceilings, newer water heater, storage shed, some interior paint and some new blinds in the living room. Fridge included. Seller to provide a 1 year home warranty not to exceed $500 from Landmark home warranty with full priced offer. BTVI",great investment opportunity excellent location large lot ideal easy access valley vault ceilings newer water heater storage shed interior paint new blind live room fridge include seller provide 1 year home warranty exceed 500 landmark home warranty full price offer btvi,distressed,distressed
2009 S Tooele Pl,Boise,ID,83705,M1264014135,https://www.realtor.com/realestateandhomes-detail/2009-S-Tooele-Pl_Boise_ID_83705_M12640-14135,"Move-In-Ready, Professionally Renovated Boise Bench Classic in a quiet Cul-De-Sac. Thoughtfully designed curb appeal with new landscape, concrete pathway & jet black driveway seal. Original hardwood floors welcome you home. Updated windows, doors and finish carpentry brighten your path into a bright lovely kitchen with new appliance. New bathroom. Private backyard with dog run or garden, mature plants & trees and an Over-sized Shop/Storage Shed. No HOA. PRICED TO SELL. Contact your Agent Now!",moveinready professionally renovate boise bench classic quiet culdesac thoughtfully design curb appeal new landscape concrete pathway jet black driveway seal original hardwood floor welcome home update windows doors finish carpentry brighten path bright lovely kitchen new appliance new bathroom private backyard dog run garden mature plant tree oversized shopstorage shed hoa price sell contact agent,not-distressed,not-distressed
8878 W Mapleview Cv,Boise,ID,83704,M2099754410,https://www.realtor.com/realestateandhomes-detail/8878-W-Mapleview-Cv_Boise_ID_83704_M20997-54410,Cute home in a quiet neighborhood. Large backyard with a covered patio. Located in a coul-de-sac.,cute home quiet neighborhood large backyard cover patio locate couldesac,none,not-distressed
