street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
3621 SARAH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1928,50480,53651,5/20/22,110000
3512 SARAH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1965,50480,102633,7/23/20,149000
3601 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1928,50480,79476,2/7/22,170000
3609N 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1945,50268,113264,9/27/21,206000
3424N 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1925,83500,117672,6/28/21,205000
1508E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1951,83500,108007,3/22/22,230000
1511E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,3,1959,121490,71830,4/9/21,183500
1512E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1925,78404,67581,2/4/22,290000
1517E 27TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,3,1927,106780,18069,2/28/22,135000
1303E LAKE AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1968,49844,77720,10/15/20,123000
3603N 13TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1926,71064,164767,1/7/21,215000
3608 DEVON ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,52500,181416,2/18/22,335000
3511N 11TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,2,1924,59826,183496,7/17/20,249000
3506N 12TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1926,59826,266506,3/23/22,399100
1015E LAKE AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1924,56881,78910,3/15/22,100
3517N 10TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1983,68408,208989,1/8/21,229900
3511N 10TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1947,49844,36447,4/25/22,325000
1111E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2003,89462,146478,1/28/22,273000
3411N 11TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1917,85514,158435,9/29/21,235000
3404N 11TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,3,1918,64349,304738,9/20/21,355000
1012E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,5,2.5,1989,57817,248739,5/5/22,400000
915E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,60413,247071,1/14/21,298500
913E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1923,60413,146216,3/11/22,230000
909 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1918,23651,116592,10/30/20,159000
3408N 10TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1916,47722,91421,12/21/21,215000
3405N 9TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1930,41081,175848,7/13/21,275000
1104E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1928,60413,84871,3/24/22,326000
1005E LAKE AVE,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,1,1,1924,50374,76862,6/1/22,100
1008 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1.5,1925,60413,192042,12/20/21,280000
3509N 9TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1926,56133,175740,2/17/22,312000
3515N 9TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,3,1925,105371,174782,3/11/22,400000
3504 10TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1925,57256,197194,11/2/21,275000
1214E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,67465,261079,11/5/21,278200
3406N 13TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1954,68749,42379,3/10/22,375000
1219E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1.5,1958,48359,72066,5/19/21,136000
1210E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1927,74812,166713,4/6/22,290000
3409N 12TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,64166,96352,5/27/22,230000
