street_address,city,state,bedrooms,bathrooms,sqft,year,property_type,property_estimate,rent_estimate,zipcode,latitude,longitude
695 S El Cielo Rd,Palm Springs,CA,3,2,1576,1958,SINGLE_FAMILY,1003800,6087,92264,33.812466,-116.51096
74820 Chateau Cir,Indian Wells,CA,2,2.5,1947,1975,CONDO,597900,5000,92210,33.71654,-116.36041
1441 E Padua Way,Palm Springs,CA,3,2,1475,1989,SINGLE_FAMILY,793100,3650,92262,33.852657,-116.53178
45220 Vista Santa Rosa,Indian Wells,CA,2,3,2208,1980,CONDO,637100,5147,92210,33.71556,-116.30221
2546 Monterey Peninsula Dr,Corona,CA,4,2,1572,1972,SINGLE_FAMILY,647000,2900,92882,33.87945,-117.61971
80515 Dunbar Dr,Indio,CA,3,2,1764,2004,SINGLE_FAMILY,643500,2949,92201,33.73597,-116.26595
2499 E Finley Rd,Palm Springs,CA,3,3,2366,1980,SINGLE_FAMILY,959900,5939,92262,33.8577,-116.5201
73421 Joshua Tree St,Palm Desert,CA,2,2,1616,1956,SINGLE_FAMILY,661700,7146,92260,33.716717,-116.38367
45650 Via Corona,Indian Wells,CA,2,2.5,2772,1983,SINGLE_FAMILY,1165300,5763,92210,33.716244,-116.338036
53340 Avenida Velasco,La Quinta,CA,3,2,1930,2005,SINGLE_FAMILY,713900,3795,92253,33.6609,-116.30867
75665 Painted Desert Dr,Indian Wells,CA,3,4,3092,1979,SINGLE_FAMILY,1243200,8500,92210,33.717293,-116.34056
45650 Navajo Rd,Indian Wells,CA,4,3,2425,1963,SINGLE_FAMILY,1094400,5799,92210,33.716663,-116.33259
45270 Vista Santa Rosa,Indian Wells,CA,2,2.5,2072,1980,CONDO,652600,4711,92210,33.714615,-116.30251
35055 Rosemont Dr,Palm Desert,CA,3,3,2065,2002,SINGLE_FAMILY,661400,2993,92211,33.79547,-116.29969
75330 Purple Hills Rd,Indian Wells,CA,3,3.5,3344,1989,SINGLE_FAMILY,1309900,7897,92210,33.71538,-116.35006
73362 Grapevine St,Palm Desert,CA,2,2,1652,1966,SINGLE_FAMILY,756600,5499,92260,33.711136,-116.38438
77895 Cherokee Rd,Indian Wells,CA,3,3,2680,1973,CONDO,982400,6430,92210,33.710827,-116.30462
77740 Seminole Rd,Indian Wells,CA,3,3,2307,1973,CONDO,994600,6146,92210,33.711056,-116.30593
3865 Westwood Dr,Riverside,CA,4,2.5,2936,1951,SINGLE_FAMILY,881200,3499,92504,33.945114,-117.40664
75261 Stardust Ln,Indian Wells,CA,3,2,2379,1978,SINGLE_FAMILY,951500,5499,92210,33.718967,-116.35173
75738 Valle Vis,Indian Wells,CA,3,3,2259,1980,SINGLE_FAMILY,,,92210,33.724197,-116.34095
44806 Del Dios Cir,Indian Wells,CA,3,3,2517,1979,SINGLE_FAMILY,748200,5587,92210,33.72765,-116.3436
75366 Augusta Dr,Indian Wells,CA,3,3,2345,1986,SINGLE_FAMILY,739000,5499,92210,33.72207,-116.35064
43763 Royal Saint George Dr,Indio,CA,2,2,1827,2000,SINGLE_FAMILY,612300,3111,92201,33.73285,-116.26093
44270 Tahoe Cir,Indian Wells,CA,3,3,2942,1980,SINGLE_FAMILY,756100,6679,92210,33.725117,-116.35814
45025 Tomahawk Run,Indian Wells,CA,5,4,2951,2002,SINGLE_FAMILY,1309400,7352,92210,33.720734,-116.32446
3 Calle Navarros,Rancho Mirage,CA,3,3.5,2491,1980,SINGLE_FAMILY,878400,5710,92270,33.77811,-116.44036
75597 Desert Horizons Dr,Indian Wells,CA,3,3.5,2517,1979,SINGLE_FAMILY,760300,6499,92210,33.72513,-116.34138
75875 Osage Trl,Indian Wells,CA,4,3,2510,1979,SINGLE_FAMILY,1017400,5580,92210,33.71813,-116.34088
74982 S Cove Dr,Indian Wells,CA,3,2,3351,1989,SINGLE_FAMILY,1485100,5939,92210,33.71881,-116.357155
75340 Desert Park Dr,Indian Wells,CA,3,2,1702,1965,SINGLE_FAMILY,676000,5858,92210,33.717754,-116.35024
76200 Fairway Dr,Indian Wells,CA,4,3.5,3724,1973,SINGLE_FAMILY,1336700,9646,92210,33.715343,-116.33586
75205 Stardust Ln,Indian Wells,CA,3,3,2762,1974,SINGLE_FAMILY,982400,5646,92210,33.719475,-116.35172
35767 Royal Sage Ct,Palm Desert,CA,3,2.5,2408,2002,SINGLE_FAMILY,812200,3543,92211,33.789986,-116.29813
72626 Beavertail St,Palm Desert,CA,3,2,1865,1965,SINGLE_FAMILY,740600,3880,92260,33.716763,-116.3978
76160 Fairway Dr,Indian Wells,CA,3,3,2650,1963,SINGLE_FAMILY,1299100,5904,92210,33.715218,-116.33658
79130 Cindy Ct,La Quinta,CA,4,4,2454,1999,SINGLE_FAMILY,772000,6550,92253,33.719913,-116.28513
75462 Montecito Dr,Indian Wells,CA,2,2,1900,1962,SINGLE_FAMILY,965300,5799,92210,33.720154,-116.348434
74937 S Cove Dr,Indian Wells,CA,3,3,3026,1989,TOWNHOUSE,1304700,6858,92210,33.718056,-116.35704
1788-1788 E Chia Rd,Palm Springs,CA,3,2,1248,1972,CONDO,,,92262,33.841293,-116.5088
11562 Range View Rd,Jurupa Valley,CA,4,2.5,2361,1985,SINGLE_FAMILY,851000,3428,91752,33.977257,-117.535225
24509 Robinwood Dr,Moreno Valley,CA,3,3.5,2118,1987,SINGLE_FAMILY,616400,2650,92557,33.962467,-117.23558
76936 Comanche Ln,Indian Wells,CA,3,2.5,2909,1998,SINGLE_FAMILY,1222500,5646,92210,33.71993,-116.31959
44350 Michigan Ct,Indian Wells,CA,3,3,2368,1980,SINGLE_FAMILY,727900,5834,92210,33.722916,-116.357704
108 Sarona Cir,Palm Desert,CA,2,3,1874,1984,CONDO,573900,4214,92211,33.759388,-116.35
45805 Algonquin Cir,Indian Wells,CA,3,3,2489,1979,CONDO,840100,5858,92210,33.717415,-116.35369
1420 Granada Ave,Corona,CA,3,2,1386,1975,SINGLE_FAMILY,641400,2763,92880,33.90262,-117.58198
2933 N Biskra Rd,Palm Springs,CA,3,2,1536,1971,SINGLE_FAMILY,767000,5646,92262,33.85665,-116.527275
45370 Indian Wells Ln,Indian Wells,CA,3,2,1702,1973,SINGLE_FAMILY,809600,3407,92210,33.718914,-116.32976
74948 Saguaro Ln,Indian Wells,CA,4,3,2571,2000,SINGLE_FAMILY,963600,5273,92210,33.727856,-116.359184
11044 Hercules Way,Mira Loma,CA,3,2,1638,1977,SINGLE_FAMILY,754700,2900,91752,33.98379,-117.52514
75780 Altamira Dr,Indian Wells,CA,3,2,1744,1964,SINGLE_FAMILY,792500,5499,92210,33.715862,-116.34133
760 S Mountain View Dr,Palm Springs,CA,4,3,2229,2005,SINGLE_FAMILY,923300,5000,92264,33.8113,-116.506836
459 Diamond Peak,Beaumont,CA,2,2.5,2482,2016,SINGLE_FAMILY,642500,2538,92223,33.905457,-116.95163
76374 Fairway Dr,Indian Wells,CA,3,3,2828,1961,SINGLE_FAMILY,1228300,6587,92210,33.715874,-116.33275
77875 Seminole Rd,Indian Wells,CA,2,1.5,2629,1973,APARTMENT,,5880,92210,33.710827,-116.304794
19351 Lurin Ave,Riverside,CA,6,3,2734,1962,SINGLE_FAMILY,701000,3772,92508,33.87551,-117.32548
45800 Apache Rd,Indian Wells,CA,4,3,2992,1973,SINGLE_FAMILY,1208900,5822,92210,33.71624,-116.33461
75105 Chippewa Dr,Indian Wells,CA,2,2,2046,1979,CONDO,720500,4940,92210,33.714806,-116.35472
75330 Painted Desert Dr,Indian Wells,CA,4,3,2498,1965,SINGLE_FAMILY,943500,5499,92210,33.716167,-116.35023
74911 Sage Dr,Indian Wells,CA,4,3,2674,1999,SINGLE_FAMILY,831900,5499,92210,33.72535,-116.36002
72900 Skyward Way,Palm Desert,CA,3,2,1443,1978,SINGLE_FAMILY,683300,2949,92260,33.70145,-116.393
74965 N Cove Dr,Indian Wells,CA,3,3,2759,1987,SINGLE_FAMILY,1232700,6529,92210,33.71942,-116.35715
75863 Camino Cielo,Indian Wells,CA,3,2.5,2134,1999,SINGLE_FAMILY,842200,5000,92210,33.72011,-116.34133
2451 Pinto Ln,Norco,CA,4,2,1828,1971,SINGLE_FAMILY,735700,2949,92860,33.917458,-117.54564
38901 Avenida Arriba,Temecula,CA,6,6,4571,1990,SINGLE_FAMILY,1997300,8531,92592,33.558247,-117.01036
77469 Evening Star Cir,Indian Wells,CA,4,2,2000,1989,SINGLE_FAMILY,830400,3999,92210,33.727764,-116.313034
76271 Via Fiore,Indian Wells,CA,3,3.5,3035,2005,SINGLE_FAMILY,1488100,5658,92210,33.720947,-116.333885
